EMPRESA,EXPEDIENT,PRODUCTE,UF - RESUM INVENTARI,UF - HES INVENTARI,UF COINCIDEIXEN,PENDENTS ENTRAR,PENDENTS ENTRAR = 0,PENDENTS SORTIR,PENDENTS SORTIR = 0,STOCKS NEGATIUS,RESULTAT,OBSERVACIONS
ADG32 6702 NFORNES SL,"6702,00",_CSC-001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6702 NFORNES SL,"6702,00",_GNT-002_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6702 NFORNES SL,"6702,00",_ULL-003_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6706 NSUIYHI SL,"6706,00",_BT1200_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6706 NSUIYHI SL,"6706,00",_CN1200_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6706 NSUIYHI SL,"6706,00",_HP700_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6706 NSUIYHI SL,"6706,00",_OKI700_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6707 MOUAZINE SL,"6707,00",_AP0004_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6707 MOUAZINE SL,"6707,00",_BB0001_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6707 MOUAZINE SL,"6707,00",_CC0003_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6707 MOUAZINE SL,"6707,00",_FP0002_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6734 LABOLAFIO SL,"6734,00",_AU0026_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6734 LABOLAFIO SL,"6734,00",_CR0015_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6734 LABOLAFIO SL,"6734,00",_NM0031_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6734 LABOLAFIO SL,"6734,00",_TE0028_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6746 ELLADO SL,"6746,00",_BE0001_,4,4.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6746 ELLADO SL,"6746,00",_CE0003_,6,6.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6746 ELLADO SL,"6746,00",_CE0004_,7,7.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6746 ELLADO SL,"6746,00",_ED0002_,5,5.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6777 JGARCIA SL,"6777,00",_CAM101_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6777 JGARCIA SL,"6777,00",_DAV101_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6777 JGARCIA SL,"6777,00",_PAN101_,1,1.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6777 JGARCIA SL,"6777,00",_POLO101_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6844 TTRAMULLAS SL,"6844,00",_5001_,3,3.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6844 TTRAMULLAS SL,"6844,00",_5002_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6844 TTRAMULLAS SL,"6844,00",_5003_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
ADG32 6844 TTRAMULLAS SL,"6844,00",_5004_,0,0.0,✅,0,✅,0,✅,✅,✅ - ENHORABONA,✅
